Train set size:  403
Val set size:  58
Train image size:  torch.Size([1, 160, 192, 224])
Val image size:  torch.Size([1, 160, 192, 224])
Training Starts
Iter 102 of 403 loss -0.1251, Img Sim: -0.136113, Reg: 0.011042, Jac: 0.000000, Dice: 0.000000
Iter 103 of 403 loss -0.1215, Img Sim: -0.133193, Reg: 0.011739, Jac: 0.000000, Dice: 0.000000
Iter 103 of 403 loss -0.1158, Img Sim: -0.126918, Reg: 0.011148, Jac: 0.000000, Dice: 0.000000
Iter 104 of 403 loss -0.1255, Img Sim: -0.136583, Reg: 0.011062, Jac: 0.000000, Dice: 0.000000
Iter 104 of 403 loss -0.1178, Img Sim: -0.127369, Reg: 0.009580, Jac: 0.000000, Dice: 0.000000
Iter 105 of 403 loss -0.1157, Img Sim: -0.129848, Reg: 0.014110, Jac: 0.000000, Dice: 0.000000
Iter 105 of 403 loss -0.1209, Img Sim: -0.133507, Reg: 0.012644, Jac: 0.000000, Dice: 0.000000
Iter 106 of 403 loss -0.1302, Img Sim: -0.141852, Reg: 0.011687, Jac: 0.000000, Dice: 0.000000
Iter 106 of 403 loss -0.1148, Img Sim: -0.125209, Reg: 0.010364, Jac: 0.000000, Dice: 0.000000
Iter 107 of 403 loss -0.1262, Img Sim: -0.138737, Reg: 0.012502, Jac: 0.000000, Dice: 0.000000
Iter 107 of 403 loss -0.1132, Img Sim: -0.123981, Reg: 0.010760, Jac: 0.000000, Dice: 0.000000
Iter 108 of 403 loss -0.1238, Img Sim: -0.136554, Reg: 0.012791, Jac: 0.000000, Dice: 0.000000
Iter 108 of 403 loss -0.1192, Img Sim: -0.131579, Reg: 0.012363, Jac: 0.000000, Dice: 0.000000
Iter 109 of 403 loss -0.1190, Img Sim: -0.131713, Reg: 0.012758, Jac: 0.000000, Dice: 0.000000
Iter 109 of 403 loss -0.1168, Img Sim: -0.127279, Reg: 0.010495, Jac: 0.000000, Dice: 0.000000
Iter 110 of 403 loss -0.1254, Img Sim: -0.138039, Reg: 0.012608, Jac: 0.000000, Dice: 0.000000
Iter 110 of 403 loss -0.1090, Img Sim: -0.119573, Reg: 0.010530, Jac: 0.000000, Dice: 0.000000
Iter 111 of 403 loss -0.1259, Img Sim: -0.137219, Reg: 0.011318, Jac: 0.000000, Dice: 0.000000
Iter 111 of 403 loss -0.1171, Img Sim: -0.127786, Reg: 0.010649, Jac: 0.000000, Dice: 0.000000
